Provider  	Language	AlertFile                     	  BLEU
googlecloud	es   	tsunami_info_statement_1.txt  	  1.05
googlecloud	es   	tsunami_info_statement_2.txt  	  2.73
googlecloud	es   	tsunami_test_template.txt     	  0.90
googlecloud	es   	tsunami_threat_message.txt    	  0.41
googlecloud	es   	tsunami_warning_1.txt         	  1.13
googlecloud	es   	tsunami_warning_cancel.txt    	  0.91
googlecloud	es   	wind_advisory_1.txt           	  7.11
googlecloud	es   	winterstorm_advisory_1.txt    	  7.83
googlecloud	es   	winterstorm_warning_1_long.txt	  4.71
googlecloud	es   	winterstorm_warning_2_short.txt	 11.96
googlecloud	es   	winterstorm_warning_3.txt     	  7.15
googlecloud	es   	winterstorm_watch_1.txt       	  0.10
googlecloud	es   	winterstorm_watch_2.txt       	  1.14
googlecloud	es   	winterstorm_watch_3.txt       	  2.31
googlecloud	vi   	avalanche_warning_1.txt       	  0.75
googlecloud	vi   	avalanche_watch_1.txt         	  3.23
googlecloud	vi   	blowingdust_advisory_1.txt    	  1.49
googlecloud	vi   	coldweather_advisory_1.txt    	  2.70
googlecloud	vi   	densefog_advisory_1.txt       	  0.89
googlecloud	vi   	extremecold_warning_1.txt     	  2.63
googlecloud	vi   	extremecold_watch_1.txt       	  1.71
googlecloud	vi   	fireweather_watch_1.txt       	  2.46
googlecloud	vi   	fireweather_watch_2.txt       	  7.63
googlecloud	vi   	flashflood_warning_1.txt      	 15.86
googlecloud	vi   	flashflood_warning_2_long.txt 	  3.29
googlecloud	vi   	flashflood_watch_1.txt        	  5.04
googlecloud	vi   	flood_advisory_1.txt          	 11.00
googlecloud	vi   	flood_advisory_2.txt          	  2.81
googlecloud	vi   	frost_advisory_1.txt          	  4.75
googlecloud	vi   	helene_advisory_num15.txt     	  0.96
googlecloud	vi   	helene_discussion_num15.txt   	  1.50
googlecloud	vi   	helene_update_1.txt           	  4.74
googlecloud	vi   	highwind_warning_1.txt        	  6.11
googlecloud	vi   	highwind_watch_1.txt          	 15.13
googlecloud	vi   	redflag_warning_1.txt         	  1.00
googlecloud	vi   	redflag_warning_2.txt         	  9.75
googlecloud	vi   	redflag_warning_3.txt         	  4.28
googlecloud	vi   	snowsquall_warning_1.txt      	  5.63
googlecloud	vi   	tornado_warning_1.txt         	  7.49
googlecloud	vi   	tornado_warning_2.txt         	  3.90
googlecloud	vi   	tornado_warning_3.txt         	 18.06
googlecloud	vi   	tornado_warning_4.txt         	  1.81
googlecloud	vi   	tornado_warning_5.txt         	  4.69
googlecloud	vi   	tornado_watch_1.txt           	  2.72
googlecloud	vi   	tornado_watch_2.txt           	  2.51
googlecloud	vi   	tornado_watch_3.txt           	  1.08
googlecloud	vi   	tornado_watch_4.txt           	  1.66
googlecloud	vi   	tstorm_warning_1.txt          	  7.56
googlecloud	vi   	tstorm_warning_2.txt          	  2.77
googlecloud	vi   	tstorm_warning_3.txt          	  7.65
googlecloud	vi   	tstorm_warning_4.txt          	  1.99
googlecloud	vi   	tstorm_warning_5.txt          	  7.04
googlecloud	vi   	tstorm_watch_1.txt            	  0.07
googlecloud	vi   	tstorm_watch_2.txt            	  0.66
googlecloud	vi   	tsunami_advisory_1.txt        	  1.58
googlecloud	vi   	tsunami_advisory_2.txt        	  3.03
googlecloud	vi   	tsunami_info_statement_1.txt  	  0.75
googlecloud	vi   	tsunami_info_statement_2.txt  	  2.86
googlecloud	vi   	tsunami_test_template.txt     	  0.91
